2023-06-27:13:59:40,885 INFO     [logger.py:35] Product 8383 is added to database
2023-06-27:13:59:40,889 WARNING  [logger.py:40] Product 8383 is deleted
2023-06-27:13:59:40,892 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:13:59:40,903 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:13:59:40,909 INFO     [logger.py:35] User 9090 is added to database
2023-06-27:13:59:40,913 WARNING  [logger.py:40] User 9090 is deleted from database
2023-06-27:13:59:40,915 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:13:59:40,928 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:13:59:40,933 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:13:59:40,935 INFO     [logger.py:35] Product 845 is retrieved from database
2023-06-27:13:59:40,938 WARNING  [logger.py:40] Product -1919191919 is not in database
2023-06-27:13:59:40,941 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:13:59:40,952 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:13:59:40,956 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:13:59:40,961 INFO     [logger.py:35] Fetched products by category: category
2023-06-27:13:59:40,963 INFO     [logger.py:35] There are no products with category: test
2023-06-27:13:59:40,966 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:13:59:40,977 WARNING  [logger.py:40] User 18371 is not in database
2023-06-27:13:59:40,984 INFO     [logger.py:35] User 18371 is added to database
2023-06-27:13:59:40,986 INFO     [logger.py:35] User 18371 is retrieved from database
2023-06-27:13:59:40,988 WARNING  [logger.py:40] User -1919191919 is not in database
2023-06-27:13:59:40,992 WARNING  [logger.py:40] User 18371 is deleted from database
2023-06-27:13:59:41,8 INFO     [logger.py:35] Order 123515 inserted in database
2023-06-27:13:59:41,11 INFO     [logger.py:35] Order 123515 is retrieved from database
2023-06-27:13:59:41,14 WARNING  [logger.py:40] Order 123515 is deleted
2023-06-27:13:59:41,25 WARNING  [logger.py:40] Product 1424 is not in database
2023-06-27:13:59:41,31 INFO     [logger.py:35] Product 1424 is added to database
2023-06-27:13:59:41,34 INFO     [logger.py:35] Product 1424 is retrieved from database
2023-06-27:13:59:41,37 WARNING  [logger.py:40] Product 1424 is deleted
2023-06-27:13:59:41,48 WARNING  [logger.py:40] User 13831 is not in database
2023-06-27:13:59:41,53 INFO     [logger.py:35] User 13831 is added to database
2023-06-27:13:59:41,56 INFO     [logger.py:35] User 13831 is retrieved from database
2023-06-27:13:59:41,59 WARNING  [logger.py:40] User 13831 is deleted from database
2023-06-27:13:59:41,71 WARNING  [logger.py:40] Product 9090 is not in database
2023-06-27:13:59:41,75 INFO     [logger.py:35] Product 9090 is added to database
2023-06-27:13:59:41,79 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:13:59:41,84 INFO     [logger.py:35] Product 9090 is updated
2023-06-27:13:59:41,87 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:13:59:41,92 WARNING  [logger.py:40] Product 9090 is deleted
2023-06-27:13:59:41,104 WARNING  [logger.py:40] User 139184 is not in database
2023-06-27:13:59:41,112 INFO     [logger.py:35] User 139184 is added to database
2023-06-27:13:59:41,118 INFO     [logger.py:35] User 139184 is updated
2023-06-27:13:59:41,121 INFO     [logger.py:35] User 139184 is retrieved from database
2023-06-27:13:59:41,126 WARNING  [logger.py:40] User 139184 is deleted from database
2023-06-27:16:04:44,169 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:16:04:44,176 INFO     [logger.py:35] Product 8383 is added to database
2023-06-27:16:04:44,181 WARNING  [logger.py:40] Product 8383 is deleted
2023-06-27:16:04:44,183 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:16:04:44,196 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:16:04:44,203 INFO     [logger.py:35] User 9090 is added to database
2023-06-27:16:04:44,207 WARNING  [logger.py:40] User 9090 is deleted from database
2023-06-27:16:04:44,209 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:16:04:44,220 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:16:04:44,225 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:16:04:44,228 INFO     [logger.py:35] Product 845 is retrieved from database
2023-06-27:16:04:44,232 WARNING  [logger.py:40] Product -1919191919 is not in database
2023-06-27:16:04:44,235 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:16:04:44,247 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:16:04:44,252 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:16:04:44,257 INFO     [logger.py:35] Fetched products by category: category
2023-06-27:16:04:44,260 INFO     [logger.py:35] There are no products with category: test
2023-06-27:16:04:44,264 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:16:04:44,277 WARNING  [logger.py:40] User 18371 is not in database
2023-06-27:16:04:44,285 INFO     [logger.py:35] User 18371 is added to database
2023-06-27:16:04:44,288 INFO     [logger.py:35] User 18371 is retrieved from database
2023-06-27:16:04:44,292 WARNING  [logger.py:40] User -1919191919 is not in database
2023-06-27:16:04:44,296 WARNING  [logger.py:40] User 18371 is deleted from database
2023-06-27:16:04:44,316 INFO     [logger.py:35] Order 123515 inserted in database
2023-06-27:16:04:44,321 INFO     [logger.py:35] Order 123515 is retrieved from database
2023-06-27:16:04:44,327 WARNING  [logger.py:40] Order 123515 is deleted
2023-06-27:16:04:44,341 WARNING  [logger.py:40] Product 1424 is not in database
2023-06-27:16:04:44,349 INFO     [logger.py:35] Product 1424 is added to database
2023-06-27:16:04:44,354 INFO     [logger.py:35] Product 1424 is retrieved from database
2023-06-27:16:04:44,358 WARNING  [logger.py:40] Product 1424 is deleted
2023-06-27:16:04:44,375 WARNING  [logger.py:40] User 13831 is not in database
2023-06-27:16:04:44,381 INFO     [logger.py:35] User 13831 is added to database
2023-06-27:16:04:44,385 INFO     [logger.py:35] User 13831 is retrieved from database
2023-06-27:16:04:44,391 WARNING  [logger.py:40] User 13831 is deleted from database
2023-06-27:16:04:44,406 WARNING  [logger.py:40] Product 9090 is not in database
2023-06-27:16:04:44,413 INFO     [logger.py:35] Product 9090 is added to database
2023-06-27:16:04:44,417 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:16:04:44,424 INFO     [logger.py:35] Product 9090 is updated
2023-06-27:16:04:44,427 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:16:04:44,433 WARNING  [logger.py:40] Product 9090 is deleted
2023-06-27:16:04:44,449 WARNING  [logger.py:40] User 139184 is not in database
2023-06-27:16:04:44,457 INFO     [logger.py:35] User 139184 is added to database
2023-06-27:16:04:44,463 INFO     [logger.py:35] User 139184 is updated
2023-06-27:16:04:44,467 INFO     [logger.py:35] User 139184 is retrieved from database
2023-06-27:16:04:44,475 WARNING  [logger.py:40] User 139184 is deleted from database
2023-06-27:17:23:19,31 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:17:23:19,40 INFO     [logger.py:35] Product 8383 is added to database
2023-06-27:17:23:19,45 WARNING  [logger.py:40] Product 8383 is deleted
2023-06-27:17:23:19,48 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:17:23:19,65 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:17:23:19,76 INFO     [logger.py:35] User 9090 is added to database
2023-06-27:17:23:19,81 WARNING  [logger.py:40] User 9090 is deleted from database
2023-06-27:17:23:19,83 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:17:23:19,99 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:17:23:19,106 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:17:23:19,111 INFO     [logger.py:35] Product 845 is retrieved from database
2023-06-27:17:23:19,115 WARNING  [logger.py:40] Product -1919191919 is not in database
2023-06-27:17:23:19,118 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:17:23:19,131 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:17:23:19,137 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:17:23:19,142 INFO     [logger.py:35] Fetched products by category: category
2023-06-27:17:23:19,144 INFO     [logger.py:35] There are no products with category: test
2023-06-27:17:23:19,148 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:17:23:19,162 WARNING  [logger.py:40] User 18371 is not in database
2023-06-27:17:23:19,170 INFO     [logger.py:35] User 18371 is added to database
2023-06-27:17:23:19,173 INFO     [logger.py:35] User 18371 is retrieved from database
2023-06-27:17:23:19,177 WARNING  [logger.py:40] User -1919191919 is not in database
2023-06-27:17:23:19,182 WARNING  [logger.py:40] User 18371 is deleted from database
2023-06-27:17:23:19,204 INFO     [logger.py:35] Order 123515 inserted in database
2023-06-27:17:23:19,208 INFO     [logger.py:35] Order 123515 is retrieved from database
2023-06-27:17:23:19,214 WARNING  [logger.py:40] Order 123515 is deleted
2023-06-27:17:23:19,233 WARNING  [logger.py:40] Product 1424 is not in database
2023-06-27:17:23:19,241 INFO     [logger.py:35] Product 1424 is added to database
2023-06-27:17:23:19,246 INFO     [logger.py:35] Product 1424 is retrieved from database
2023-06-27:17:23:19,250 WARNING  [logger.py:40] Product 1424 is deleted
2023-06-27:17:23:19,263 WARNING  [logger.py:40] User 13831 is not in database
2023-06-27:17:23:19,270 INFO     [logger.py:35] User 13831 is added to database
2023-06-27:17:23:19,273 INFO     [logger.py:35] User 13831 is retrieved from database
2023-06-27:17:23:19,279 WARNING  [logger.py:40] User 13831 is deleted from database
2023-06-27:17:23:19,292 WARNING  [logger.py:40] Product 9090 is not in database
2023-06-27:17:23:19,297 INFO     [logger.py:35] Product 9090 is added to database
2023-06-27:17:23:19,301 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:17:23:19,306 INFO     [logger.py:35] Product 9090 is updated
2023-06-27:17:23:19,308 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:17:23:19,311 WARNING  [logger.py:40] Product 9090 is deleted
2023-06-27:17:23:19,323 WARNING  [logger.py:40] User 139184 is not in database
2023-06-27:17:23:19,329 INFO     [logger.py:35] User 139184 is added to database
2023-06-27:17:23:19,334 INFO     [logger.py:35] User 139184 is updated
2023-06-27:17:23:19,336 INFO     [logger.py:35] User 139184 is retrieved from database
2023-06-27:17:23:19,340 WARNING  [logger.py:40] User 139184 is deleted from database
2023-06-27:17:23:39,843 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:17:23:39,997 INFO     [logger.py:35] Product 8383 is added to database
2023-06-27:17:23:40,2 WARNING  [logger.py:40] Product 8383 is deleted
2023-06-27:17:23:40,4 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:17:23:40,5 WARNING  [base_events.py:1891] Executing <Task pending name='Task-1' coro=<IsolatedAsyncioTestCase._asyncioLoopRunner() running at C:\Users\prp48\AppData\Local\Programs\Python\Python310\lib\unittest\async_case.py:95> wait_for=<Future pending cb=[Task.task_wakeup()] created at C:\Users\prp48\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:429> created at C:\Users\prp48\AppData\Local\Programs\Python\Python310\lib\unittest\async_case.py:117> took 0.172 seconds
2023-06-27:17:23:40,17 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:17:23:40,24 INFO     [logger.py:35] User 9090 is added to database
2023-06-27:17:23:40,28 WARNING  [logger.py:40] User 9090 is deleted from database
2023-06-27:17:23:40,31 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:17:23:40,44 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:17:23:40,49 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:17:23:40,53 INFO     [logger.py:35] Product 845 is retrieved from database
2023-06-27:17:23:40,55 WARNING  [logger.py:40] Product -1919191919 is not in database
2023-06-27:17:23:40,57 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:17:23:40,69 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:17:23:40,74 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:17:23:40,79 INFO     [logger.py:35] Fetched products by category: category
2023-06-27:17:23:40,81 INFO     [logger.py:35] There are no products with category: test
2023-06-27:17:23:40,84 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:17:23:40,95 WARNING  [logger.py:40] User 18371 is not in database
2023-06-27:17:23:40,100 INFO     [logger.py:35] User 18371 is added to database
2023-06-27:17:23:40,103 INFO     [logger.py:35] User 18371 is retrieved from database
2023-06-27:17:23:40,105 WARNING  [logger.py:40] User -1919191919 is not in database
2023-06-27:17:23:40,110 WARNING  [logger.py:40] User 18371 is deleted from database
2023-06-27:17:23:40,127 INFO     [logger.py:35] Order 123515 inserted in database
2023-06-27:17:23:40,130 INFO     [logger.py:35] Order 123515 is retrieved from database
2023-06-27:17:23:40,134 WARNING  [logger.py:40] Order 123515 is deleted
2023-06-27:17:23:40,145 WARNING  [logger.py:40] Product 1424 is not in database
2023-06-27:17:23:40,149 INFO     [logger.py:35] Product 1424 is added to database
2023-06-27:17:23:40,153 INFO     [logger.py:35] Product 1424 is retrieved from database
2023-06-27:17:23:40,156 WARNING  [logger.py:40] Product 1424 is deleted
2023-06-27:17:23:40,167 WARNING  [logger.py:40] User 13831 is not in database
2023-06-27:17:23:40,172 INFO     [logger.py:35] User 13831 is added to database
2023-06-27:17:23:40,175 INFO     [logger.py:35] User 13831 is retrieved from database
2023-06-27:17:23:40,180 WARNING  [logger.py:40] User 13831 is deleted from database
2023-06-27:17:23:40,191 WARNING  [logger.py:40] Product 9090 is not in database
2023-06-27:17:23:40,196 INFO     [logger.py:35] Product 9090 is added to database
2023-06-27:17:23:40,199 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:17:23:40,203 INFO     [logger.py:35] Product 9090 is updated
2023-06-27:17:23:40,206 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:17:23:40,208 WARNING  [logger.py:40] Product 9090 is deleted
2023-06-27:17:23:40,219 WARNING  [logger.py:40] User 139184 is not in database
2023-06-27:17:23:40,224 INFO     [logger.py:35] User 139184 is added to database
2023-06-27:17:23:40,228 INFO     [logger.py:35] User 139184 is updated
2023-06-27:17:23:40,231 INFO     [logger.py:35] User 139184 is retrieved from database
2023-06-27:17:23:40,234 WARNING  [logger.py:40] User 139184 is deleted from database
2023-06-27:18:22:55,529 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:18:22:55,536 INFO     [logger.py:35] Product 8383 is added to database
2023-06-27:18:22:55,540 WARNING  [logger.py:40] Product 8383 is deleted
2023-06-27:18:22:55,543 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:18:22:55,556 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:18:22:55,563 INFO     [logger.py:35] User 9090 is added to database
2023-06-27:18:22:55,567 WARNING  [logger.py:40] User 9090 is deleted from database
2023-06-27:18:22:55,569 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:18:22:55,580 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:18:22:55,585 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:18:22:55,588 INFO     [logger.py:35] Product 845 is retrieved from database
2023-06-27:18:22:55,590 WARNING  [logger.py:40] Product -1919191919 is not in database
2023-06-27:18:22:55,594 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:18:22:55,605 WARNING  [logger.py:40] Product 845 is not in database
2023-06-27:18:22:55,610 INFO     [logger.py:35] Product 845 is added to database
2023-06-27:18:22:55,615 INFO     [logger.py:35] Fetched products by category: category
2023-06-27:18:22:55,618 INFO     [logger.py:35] There are no products with category: test
2023-06-27:18:22:55,623 WARNING  [logger.py:40] Product 845 is deleted
2023-06-27:18:22:55,635 WARNING  [logger.py:40] User 18371 is not in database
2023-06-27:18:22:55,643 INFO     [logger.py:35] User 18371 is added to database
2023-06-27:18:22:55,646 INFO     [logger.py:35] User 18371 is retrieved from database
2023-06-27:18:22:55,650 WARNING  [logger.py:40] User -1919191919 is not in database
2023-06-27:18:22:55,654 WARNING  [logger.py:40] User 18371 is deleted from database
2023-06-27:18:22:55,672 INFO     [logger.py:35] Order 123515 inserted in database
2023-06-27:18:22:55,676 INFO     [logger.py:35] Order 123515 is retrieved from database
2023-06-27:18:22:55,682 WARNING  [logger.py:40] Order 123515 is deleted
2023-06-27:18:22:55,695 WARNING  [logger.py:40] Product 1424 is not in database
2023-06-27:18:22:55,701 INFO     [logger.py:35] Product 1424 is added to database
2023-06-27:18:22:55,705 INFO     [logger.py:35] Product 1424 is retrieved from database
2023-06-27:18:22:55,709 WARNING  [logger.py:40] Product 1424 is deleted
2023-06-27:18:22:55,721 WARNING  [logger.py:40] User 13831 is not in database
2023-06-27:18:22:55,727 INFO     [logger.py:35] User 13831 is added to database
2023-06-27:18:22:55,729 INFO     [logger.py:35] User 13831 is retrieved from database
2023-06-27:18:22:55,733 WARNING  [logger.py:40] User 13831 is deleted from database
2023-06-27:18:22:55,743 WARNING  [logger.py:40] Product 9090 is not in database
2023-06-27:18:22:55,748 INFO     [logger.py:35] Product 9090 is added to database
2023-06-27:18:22:55,751 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:18:22:55,755 INFO     [logger.py:35] Product 9090 is updated
2023-06-27:18:22:55,758 INFO     [logger.py:35] Product 9090 is retrieved from database
2023-06-27:18:22:55,760 WARNING  [logger.py:40] Product 9090 is deleted
2023-06-27:18:22:55,770 WARNING  [logger.py:40] User 139184 is not in database
2023-06-27:18:22:55,776 INFO     [logger.py:35] User 139184 is added to database
2023-06-27:18:22:55,781 INFO     [logger.py:35] User 139184 is updated
2023-06-27:18:22:55,783 INFO     [logger.py:35] User 139184 is retrieved from database
2023-06-27:18:22:55,786 WARNING  [logger.py:40] User 139184 is deleted from database
2023-06-27:18:50:01,664 INFO     [logger.py:35] Redirecting from home to login
2023-06-27:18:50:01,707 INFO     [logger.py:35] Logging
2023-06-27:18:50:10,17 INFO     [logger.py:35] Successfully authenticated
2023-06-27:18:50:10,30 INFO     [logger.py:35] Admin panel
2023-06-27:18:57:14,408 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:18:57:15,48 INFO     [logger.py:35] Product 8383 is added to database
2023-06-27:18:57:15,55 WARNING  [logger.py:40] Product 8383 is deleted
2023-06-27:18:57:15,59 WARNING  [logger.py:40] Product 8383 is not in database
2023-06-27:18:57:15,60 WARNING  [base_events.py:1891] Executing <Task pending name='Task-1' coro=<IsolatedAsyncioTestCase._asyncioLoopRunner() running at C:\Users\prp48\AppData\Local\Programs\Python\Python310\lib\unittest\async_case.py:95> wait_for=<Future pending cb=[Task.task_wakeup()] created at C:\Users\prp48\AppData\Local\Programs\Python\Python310\lib\asyncio\base_events.py:429> created at C:\Users\prp48\AppData\Local\Programs\Python\Python310\lib\unittest\async_case.py:117> took 0.656 seconds
2023-06-27:18:57:15,82 WARNING  [logger.py:40] User 9090 is not in database
2023-06-27:18:57:15,99 INFO     [logger.py:35] User 9090 is added to database
